SUPLIER & ITEMS ,UNIT ,PRICE ,UNIT ,PRICE ,,Monday Thunder Stock,Min Home Stock,Order Amount,,,,
,,,,,,,,,,,,
CHUNKEY COOKIES,,,,,,,,,,,,
Matcha,pcs , MYR 7.50 ,pcs , MYR 7.50 ,,,,,,,,
Walnut ,pcs , MYR 7.50 ,pcs , MYR 7.50 ,,,,,,,,
Raspberry Double Chocolate ,pcs , MYR 7.50 ,pcs , MYR 7.50 ,,,,,,,,
Nuttella ,pcs , MYR 7.50 ,pcs , MYR 7.50 ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BAKE WITH YEN ,,,,,,,,,,,,
Almond ,Pkt, MYR 60.00 ,gm, MYR 0.06 ,,,,,,,,
Matcha Powder ,Pkt, MYR 60.00 ,gm, MYR 0.12 ,,,,,,,,
Butter ,pkt, MYR 57.00 ,gm, MYR 0.06 ,,,,,,,,
,,,,,,,,,,,,
PASTRY PRO ,,,,,,,,,,,,
Cocoa Powder ,kg , MYR 50.80 ,, MYR 0.05 ,,,,,,,,
Sugar (white ),kg , MYR 4.80 ,, MYR 0.00 ,,,,,,,,
Sugar (brown  ),kg , MYR 32.00 ,, MYR 0.06 ,,,,,,,,
Icing Sugar ,kg, MYR 7.20 ,gm , MYR 0.01 ,,,,,,,,
,,,,,,,,,,,,
CDA ,,,,,,,,,,,,
Silly Smooth Hot Chocolate Powder ,kg , MYR 70.00 ,, MYR 0.07 ,,,,,,,,
Chai Powder ,KG, MYR 125.00 ,, MYR 0.13 ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,,,, MYR -   ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
THUNDER ,,,,,,,,,,,,
Sugar Syrup,kg , MYR 4.80 ,gm , MYR 0.00 ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
