Menu Item,Ingredients,Quantity,Unit,Cost Price (MYR),Total Price (MYR),Notes
,Butter,10,gm,0.06,0.60,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.66,
,,,,Sale,MYR 5.50,
,,,,COGS %,67%,
,,,,Profit,MYR 1.84,
,,,,,,
Garlic Cheese Toast,Schiacciata Bread,1,pc,2.29,2.29,
,Garlic Butter,15,gm,0.06,0.90,
,Bega Cheese Slice,1,slice,0.41,0.41,
,Parsley,2,gm,0.01,0.02,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.12,
,,,,Sale,MYR 6.50,
,,,,COGS %,63%,
,,,,Profit,MYR 2.38,
,,,,,,
Egg on Toast (1 egg),Schiacciata Bread,1,pc,2.29,2.29,
,Egg,1,pc,0.53,0.53,
,Butter,5,gm,0.06,0.30,
,Salt,1,gm,0.01,0.01,
,Pepper,1,gm,0.08,0.08,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.71,
,,,,Sale,MYR 5.50,
,,,,COGS %,67%,
,,,,Profit,MYR 1.79,
,,,,,,
Marmalade Toast,Schiacciata Bread,1,pc,2.29,2.29,
,Butter,10,gm,0.06,0.60,
,Orange Marmalade,20,gm,0.03,0.60,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.99,
,,,,Sale,MYR 5.90,
,,,,COGS %,68%,
,,,,Profit,MYR 1.91,
,,,,,,
Simple Ham Sandwich,Thunder Sandwich Bread,2,slice,0.63,1.26,
,Chicken Ham,2,slices,0.33,0.65,
,Mayonnaise,10,gm,0.02,0.20,
,Lettuce,1,leaf,0.30,0.30,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.91,
,,,,Sale,MYR 5.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.09,
,,,,,,
Cheese Sandwich,Thunder Sandwich Bread,2,slice,0.63,1.26,
,Bega Cheese Slice,2,slice,0.41,0.82,
,Butter,10,gm,0.06,0.60,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.18,
,,,,Sale,MYR 5.50,
,,,,COGS %,58%,
,,,,Profit,MYR 2.32,
,,,,,,
Veggie Wrap,Flour Tortilla,1,pc,0.80,0.80,
,Cucumber,30,gm,0.01,0.30,
,Tomato,30,gm,0.00,0.15,
,Lettuce,2,leaves,0.30,0.60,
,Cream Cheese,20,gm,0.08,1.60,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.95,
,,,,Sale,MYR 6.00,
,,,,COGS %,66%,
,,,,Profit,MYR 2.05,
,,,,,,
Tuna Mayo Wrap,Flour Tortilla,1,pc,0.80,0.80,
,Canned Tuna,60,gm,0.02,1.20,
,Mayonnaise,15,gm,0.02,0.30,
,Lettuce,1,leaf,0.30,0.30,
,Red Onion,10,gm,0.00,0.04,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.14,
,,,,Sale,MYR 6.50,
,,,,COGS %,48%,
,,,,Profit,MYR 3.36,
,,,,,,
